Date,Open,High,Low,Close,Adj Close,Volume
2019-03-06,1287.099976,1287.099976,1282.599976,1284.900024,1284.900024,14
2019-03-07,1281.000000,1284.599976,1281.000000,1283.800049,1283.800049,11
2019-03-08,1292.099976,1297.400024,1291.599976,1297.000000,1297.000000,10
2019-03-11,1291.000000,1291.000000,1288.800049,1288.800049,1288.800049,9
2019-03-12,1294.699951,1296.300049,1294.699951,1296.300049,1296.300049,1
2019-03-13,1307.500000,1307.500000,1307.500000,1307.500000,1307.500000,0
2019-03-14,1293.400024,1293.400024,1293.400024,1293.400024,1293.400024,1
2019-03-15,1300.900024,1304.699951,1300.500000,1301.800049,1301.800049,26
2019-03-18,1297.300049,1302.199951,1297.300049,1300.300049,1300.300049,8
2019-03-19,1306.900024,1306.900024,1304.800049,1305.000000,1305.000000,20
2019-03-20,1300.699951,1300.699951,1300.500000,1300.500000,1300.500000,2
2019-03-21,1306.099976,1306.099976,1306.099976,1306.099976,1306.099976,0
2019-03-22,1311.599976,1311.599976,1311.599976,1311.599976,1311.599976,0
2019-03-25,1320.699951,1322.900024,1320.699951,1321.900024,1321.900024,19
2019-03-26,1315.599976,1315.599976,1314.300049,1314.300049,1314.300049,1
2019-03-27,1309.900024,1309.900024,1309.900024,1309.900024,1309.900024,206263
2019-03-28,1308.400024,1311.099976,1287.699951,1289.800049,1289.800049,87798
2019-03-29,1289.599976,1298.500000,1286.099976,1293.000000,1293.000000,1265
2019-04-01,1291.800049,1295.900024,1285.699951,1288.400024,1288.400024,675
2019-04-02,1286.300049,1290.900024,1284.500000,1290.000000,1290.000000,525
2019-04-03,1291.400024,1293.099976,1287.500000,1289.900024,1289.900024,172
2019-04-04,1290.599976,1292.599976,1279.500000,1289.000000,1289.000000,269
2019-04-05,1292.000000,1292.000000,1283.599976,1290.400024,1290.400024,181
2019-04-08,1292.199951,1302.099976,1291.800049,1297.099976,1297.099976,63
2019-04-09,1298.500000,1304.900024,1298.500000,1303.500000,1303.500000,30
2019-04-10,1304.000000,1309.099976,1301.500000,1309.099976,1309.099976,66
2019-04-11,1307.000000,1307.099976,1288.599976,1288.599976,1288.599976,420
2019-04-12,1293.400024,1293.400024,1289.199951,1290.599976,1290.599976,607
2019-04-15,1284.800049,1287.300049,1282.300049,1286.800049,1286.800049,523
2019-04-16,1285.199951,1285.199951,1272.199951,1272.599976,1272.599976,643
2019-04-17,1273.500000,1273.500000,1271.599976,1272.199951,1272.199951,308
2019-04-18,1270.800049,1273.599976,1270.099976,1271.900024,1271.900024,27
2019-04-22,1273.500000,1273.500000,1273.500000,1273.500000,1273.500000,147
2019-04-23,1266.400024,1269.800049,1266.000000,1269.300049,1269.300049,206
2019-04-24,1268.400024,1275.500000,1267.800049,1275.500000,1275.500000,518
2019-04-25,1280.599976,1280.800049,1275.800049,1275.800049,1275.800049,95
2019-04-26,1284.900024,1284.900024,1284.900024,1284.900024,1284.900024,804
2019-04-29,1284.800049,1284.900024,1277.099976,1278.599976,1278.599976,568
2019-04-30,1281.699951,1283.300049,1280.800049,1282.800049,1282.800049,114
2019-05-01,1278.699951,1283.300049,1278.699951,1281.400024,1281.400024,70
2019-05-02,1269.199951,1270.800049,1266.599976,1269.699951,1269.699951,63
2019-05-03,1270.099976,1279.199951,1270.099976,1279.199951,1279.199951,15
2019-05-06,1282.199951,1282.199951,1280.300049,1281.699951,1281.699951,12
2019-05-07,1280.500000,1283.500000,1280.500000,1283.500000,1283.500000,8
2019-05-08,1279.400024,1279.400024,1279.400024,1279.400024,1279.400024,5
2019-05-09,1278.900024,1285.000000,1278.800049,1283.500000,1283.500000,38
2019-05-10,1285.400024,1286.500000,1283.300049,1285.699951,1285.699951,6
2019-05-13,1286.699951,1300.099976,1281.800049,1300.099976,1300.099976,56
2019-05-14,1297.800049,1297.800049,1294.699951,1294.699951,1294.699951,6
2019-05-15,1296.900024,1296.900024,1296.000000,1296.300049,1296.300049,55
2019-05-16,1285.199951,1285.400024,1285.000000,1285.000000,1285.000000,3
2019-05-17,1280.000000,1280.000000,1274.500000,1274.500000,1274.500000,1
2019-05-20,1276.099976,1276.099976,1276.099976,1276.099976,1276.099976,20
2019-05-21,1272.000000,1272.000000,1272.000000,1272.000000,1272.000000,0
2019-05-22,1273.599976,1273.599976,1273.599976,1273.599976,1273.599976,0
2019-05-23,1284.800049,1284.800049,1284.800049,1284.800049,1284.800049,0
2019-05-24,1283.000000,1283.000000,1283.000000,1283.000000,1283.000000,9
2019-05-28,1276.500000,1276.500000,1276.500000,1276.500000,1276.500000,0
2019-05-29,1280.599976,1280.599976,1280.599976,1280.599976,1280.599976,189694
